frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
111	340.852452000	-46.4492	66.1438	78.8151	1345679.00756305	-4374224.6131006	4434176.73690007
340	341.436078000	-46.4472	66.135	78.8297	1345651.91235122	-4374186.03044115	4434222.7153108
425	341.602826000	-46.451	66.1474	78.8171	1345644.17085482	-4374175.00670379	4434235.85187982
545	341.802913000	-46.4472	66.1355	78.8293	1345634.88108274	-4374161.77824339	4434251.61579707
617	341.969683000	-46.4472	66.1358	78.829	1345627.13958391	-4374150.754411	4434264.7522849
703	342.153185000	-46.4493	66.1458	78.8134	1345618.62392962	-4374138.62810505	4434279.2022919
926	342.620001000	-46.4455	66.1343	78.8252	1345596.94776116	-4374107.76113366	4434315.98427255
1170	343.170252000	-46.451	66.1499	78.815	1345571.40078463	-4374071.381624	4434359.33399104
1249	343.353705000	-46.4493	66.1477	78.8118	1345562.88512157	-4374059.25497593	4434373.78370576
1483	343.920610000	-46.4493	66.1486	78.811	1345536.56403608	-4374021.77256656	4434418.44661321
1726	344.520915000	-46.4494	66.1495	78.8102	1345508.69459696	-4373982.08463353	4434465.73615101
1983	345.121225000	-46.4494	66.1504	78.8094	1345480.8251435	-4373942.39614067	4434513.02521053
2206	345.704845000	-46.4511	66.1538	78.8116	1345453.7298324	-4373903.80961078	4434559.00031466
2308	345.921620000	-46.4494	66.1517	78.8084	1345443.66587078	-4373889.47734725	4434576.07661516
2555	346.521918000	-46.4494	66.1526	78.8076	1345415.79638386	-4373849.78754815	4434623.36455866
2811	347.138892000	-46.4512	66.1561	78.8097	1345387.15269593	-4373808.99458837	4434671.96551885
2887	347.338991000	-46.4512	66.1564	78.8094	1345377.86287975	-4373795.76440702	4434687.72796581
2976	347.539087000	-46.4512	66.1567	78.8092	1345368.57306197	-4373782.53416348	4434703.49035964
3061	347.739188000	-46.4475	66.1448	78.8214	1345359.2832426	-4373769.30385773	4434719.25270031
3127	347.905951000	-46.4475	66.145	78.8212	1345351.54170436	-4373758.27848754	4434732.38787433
3199	348.072694000	-46.4475	66.1453	78.8209	1345343.80016502	-4373747.25307417	4434745.52301143
3281	348.256102000	-46.4495	66.1553	78.8053	1345335.28446619	-4373735.12502915	4434759.97153262
3488	348.756550000	-46.4495	66.1561	78.8046	1345312.05983791	-4373702.04838731	4434799.37660069
3491	348.773026000	-46.4475	66.1464	78.82	1345311.28571279	-4373700.94594775	4434800.69026738
3556	348.939792000	-46.4475	66.1466	78.8198	1345303.54416772	-4373689.92030976	4434813.82521257
3632	349.123218000	-46.4495	66.1567	78.8041	1345295.02846257	-4373677.79201768	4434828.27352264
3861	349.690147000	-46.4458	66.1453	78.8158	1345268.70724703	-4373640.30452679	4434872.93208846
