frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
173	1082.117843000	-46.4709	67.2916	77.8244	1311255.97179596	-4324794.76778195	4492208.58005697
1168	1085.702939000	-46.4691	67.2876	77.8351	1311089.45175973	-4324553.63838573	4492487.46155344
2056	1088.821129000	-46.4711	67.302	77.8154	1310944.61780857	-4324343.89555525	4492730.00923491
3049	1092.406230000	-46.4729	67.31	77.8135	1310778.09732606	-4324102.72910352	4493008.85842186
3945	1095.591144000	-46.4712	67.3124	77.8063	1310630.16497347	-4323888.46687044	4493256.5656066
4948	1099.176241000	-46.473	67.3205	77.8044	1310463.64398393	-4323647.26279576	4493535.38194819
5832	1102.361123000	-46.4713	67.3229	77.7972	1310315.71123722	-4323432.96731949	4493783.06013945
6822	1105.946263000	-46.4731	67.3309	77.7953	1310149.18986741	-4323191.72602706	4494061.84405312
7704	1109.131155000	-46.4714	67.3333	77.7881	1310001.25673078	-4322977.39730993	4494309.49324752
8703	1112.716227000	-46.4732	67.3414	77.7862	1309834.73486345	-4322736.11839978	4494588.24430823
9596	1115.901161000	-46.4716	67.3438	77.779	1309686.80134113	-4322521.75644407	4494835.86450245
10599	1119.486263000	-46.4734	67.3518	77.7771	1309520.27910296	-4322280.44032132	4495114.58312774
11490	1122.671162000	-46.4717	67.3542	77.7699	1309372.34519912	-4322066.04512936	4495362.17431841
12496	1126.256278000	-46.4735	67.3622	77.7679	1309205.82247292	-4321824.69139412	4495640.86008314
13387	1129.441188000	-46.4718	67.3646	77.7607	1309057.8881918	-4321610.26296819	4495888.42226692
14413	1133.026299000	-46.4736	67.3727	77.7588	1308891.36510421	-4321368.87202549	4496167.07558874
15315	1136.227858000	-46.4737	67.3776	77.7545	1308742.65588912	-4321153.28740755	4496415.90467089
16203	1139.412780000	-46.472	67.38	77.7473	1308594.72105994	-4320938.81003532	4496663.42412411
17188	1142.981176000	-46.4684	67.3734	77.7552	1308428.9719217	-4320698.4871322	4496940.73358664
18234	1146.649651000	-46.4684	67.3791	77.7502	1308258.57533264	-4320451.40557095	4497225.80003238
19265	1150.318114000	-46.4685	67.3848	77.7453	1308088.17851672	-4320204.30327157	4497510.84836674
20659	1155.320591000	0	0	0	1307973.54775914	-4320038.0589979	4497702.59780732
22072	1160.323082000	0	0	0	1307973.54775914	-4320038.0589979	4497702.59780732
23455	1165.325522000	0	0	0	1307973.54775914	-4320038.0589979	4497702.59780732
24855	1170.327990000	0	0	0	1307973.54775914	-4320038.0589979	4497702.59780732
26236	1175.330467000	0	0	0	1307973.54775914	-4320038.0589979	4497702.59780732
27638	1180.332923000	0	0	0	1307973.54775914	-4320038.0589979	4497702.59780732
