frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
26	547.120797000	-46.4568	66.4641	78.5407	1336101.98126174	-4360555.45876319	4450398.61071984
375	547.671045000	-46.4586	66.4674	78.5429	1336076.43012685	-4360518.90460856	4450441.81081659
468	547.821163000	-46.4569	66.4651	78.5398	1336069.46166916	-4360508.935294	4450453.59261681
824	548.371408000	-46.4586	66.4685	78.542	1336043.91052116	-4360472.38054188	4450496.79220023
952	548.571501000	-46.4586	66.4688	78.5417	1336034.61921996	-4360459.08786974	4450512.50110659
1086	548.754974000	-46.4532	66.4544	78.551	1336026.1022279	-4360446.90295419	4450526.90093554
1427	549.271855000	-46.4586	66.4699	78.5408	1336002.09959282	-4360412.56282537	4450567.48165024
1560	549.471954000	-46.4549	66.458	78.553	1335992.80828549	-4360399.26987388	4450583.1903166
1657	549.655379000	-46.4569	66.468	78.5373	1335984.29122562	-4360387.08449926	4450597.58971696
1905	550.255682000	-46.4569	66.4689	78.5365	1335956.41722952	-4360347.20489862	4450644.71504076
2133	550.839297000	-46.4587	66.4723	78.5387	1335929.31750385	-4360308.43257032	4450690.53095588
2220	551.039400000	-46.4587	66.4726	78.5384	1335920.02618587	-4360295.13913258	4450706.23920446
2303	551.239495000	-46.455	66.4608	78.5507	1335910.73486652	-4360281.84563276	4450721.9473997
2368	551.406244000	-46.455	66.461	78.5504	1335902.99207864	-4360270.76760116	4450735.03745213
2427	551.556325000	-46.457	66.4709	78.5348	1335896.02353971	-4360260.79721454	4450746.81829706
2669	552.139936000	-46.4587	66.4743	78.537	1335868.92378828	-4360222.02370942	4450792.63320104
2756	552.356722000	-46.457	66.4722	78.5337	1335858.85817796	-4360207.6219984	4450809.64999826
2983	552.923659000	-46.4533	66.4609	78.5455	1335832.53272356	-4360169.95569552	4450854.15534853
3117	553.223872000	-46.457	66.4735	78.5326	1335818.59566267	-4360150.01434273	4450877.7166594
3311	553.724048000	-46.4533	66.4621	78.5444	1335795.36732472	-4360116.77878271	4450916.98559187
3537	554.290990000	-46.4571	66.4752	78.5311	1335769.04178188	-4360079.11107503	4450961.48970084
3771	554.874597000	-46.4588	66.4786	78.5333	1335741.94197638	-4360040.3350956	4451007.30247875
3855	555.041375000	-46.4588	66.4788	78.5331	1335734.19916795	-4360029.25612428	4451020.39172371
3930	555.241471000	-46.4551	66.467	78.5453	1335724.90782148	-4360015.961383	4451036.09885222
4010	555.408216000	-46.4551	66.4672	78.5451	1335717.16501098	-4360004.88231686	4451049.18801569
4076	555.574960000	-46.4589	66.4797	78.5324	1335709.42219955	-4359993.8032076	4451062.27714212
