frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
49	1744.894529000	-46.4751	68.1847	77.0469	1284000.99238288	-4285068.13295393	4537619.67745116
925	1748.029408000	-46.4787	68.2014	77.0299	1283855.36540637	-4284854.45821684	4537861.05232717
1815	1751.230978000	-46.4787	68.2063	77.0256	1283706.63995298	-4284636.22161605	4538107.54901648
2710	1754.432558000	-46.4751	68.1993	77.034	1283557.91454354	-4284417.9695056	4538354.03200022
3581	1757.567430000	-46.4751	68.2041	77.0297	1283412.28752089	-4284204.2489434	4538595.3662752
4458	1760.702344000	-46.4787	68.2209	77.0127	1283266.6604849	-4283990.51332082	4538836.68720435
5349	1763.903899000	-46.4787	68.2258	77.0084	1283117.9349745	-4283772.21454118	4539083.12879607
6227	1767.105488000	-46.4751	68.2187	77.0168	1282969.20951182	-4283553.90025392	4539329.5566793
7125	1770.257008000	-46.477	68.2329	76.9968	1282822.80782471	-4283338.98159653	4539572.12027936
8144	1773.858776000	-46.477	68.2385	76.9919	1282655.49162494	-4283093.34175635	4539849.3194821
9145	1777.460590000	-46.477	68.244	76.987	1282488.17541372	-4282847.682039	4540126.50106285
10145	1781.062354000	-46.4734	68.2375	76.9949	1282320.85919238	-4282602.00244523	4540403.66502055
11177	1784.747505000	-46.4787	68.2577	76.98	1282149.6698539	-4282350.61512154	4540687.22647662
12075	1787.949083000	-46.4751	68.2507	76.9884	1282000.94433619	-4282132.19858768	4540933.56370864
12950	1791.083964000	-46.4751	68.2555	76.9842	1281855.31721729	-4281918.31703296	4541174.75526073
13844	1794.235504000	-46.477	68.2697	76.9642	1281708.91547839	-4281703.2825948	4541417.21619686
14842	1797.837282000	-46.477	68.2752	76.9593	1281541.59922791	-4281457.51043833	4541694.29806281
15861	1801.439061000	-46.477	68.2807	76.9544	1281374.28297502	-4281211.71840967	4541971.36229972
16863	1805.040835000	-46.4734	68.2743	76.9623	1281206.96672108	-4280965.90650957	4542248.4089065
17879	1808.725972000	-46.4787	68.2945	76.9474	1281035.77735867	-4280714.38382208	4542531.85028785
18781	1811.927566000	-46.4787	68.2994	76.9431	1280887.05176817	-4280495.84949199	4542778.08298272
19667	1815.129156000	-46.4787	68.3043	76.9387	1280738.32623963	-4280277.299662	4543024.3019581
20559	1818.330726000	-46.4787	68.3092	76.9344	1280589.60065471	-4280058.73393412	4543270.50678739
21460	1821.548970000	-46.477	68.3116	76.9271	1280440.10051747	-4279839.0141815	4543517.98001399
22466	1825.150734000	-46.477	68.3171	76.9222	1280272.78428273	-4279593.09134631	4543794.92816645
23474	1828.752507000	-46.4734	68.3106	76.9301	1280105.46805591	-4279347.14864462	4544071.8586818
24510	1832.437677000	-46.4787	68.3308	76.9152	1279934.27873055	-4279095.49213285	4544355.18127714
25399	1835.639291000	-46.4787	68.3357	76.9108	1279785.55317988	-4278876.84154332	4544601.31076738
26284	1838.857518000	-46.477	68.3381	76.9035	1279636.05308224	-4278657.03648989	4544848.70825855
