frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
707	1415.632232000	-46.4729	67.6788	77.4929	1299296.20411921	-4307426.82865096	4512193.4453535
1585	1418.767114000	-46.4729	67.6837	77.4887	1299150.58381688	-4307214.73863044	4512436.2178359
2452	1421.901992000	-46.4766	67.7005	77.4718	1299004.96340453	-4307002.63349647	4512678.97704835
3352	1425.103581000	-46.4766	67.7054	77.4675	1298856.24455877	-4306785.99984167	4512926.88760376
4247	1428.305149000	-46.473	67.6983	77.4758	1298707.52566061	-4306569.35062497	4513174.78452859
5146	1431.440001000	-46.4767	67.7152	77.4589	1298561.90491904	-4306357.19951052	4513417.50336225
6046	1434.641600000	-46.4767	67.7201	77.4546	1298413.18573982	-4306140.51889848	4513665.37267752
6941	1437.843200000	-46.4732	67.713	77.4629	1298264.46651104	-4305923.82272606	4513913.22836001
7824	1440.978032000	-46.4732	67.7178	77.4587	1298118.84544846	-4305711.62563566	4514155.90680835
8696	1444.112943000	-46.4768	67.7347	77.4418	1297973.22428219	-4305499.41343529	4514398.57198176
9575	1447.314516000	-46.4769	67.7396	77.4374	1297824.504673	-4305282.67043964	4514646.38649215
10474	1450.516056000	-46.4733	67.7325	77.4458	1297675.78501795	-4305065.91188566	4514894.18736682
11336	1453.634309000	-46.4752	67.7468	77.426	1297530.93809701	-4304854.78267071	4515135.52145352
12336	1457.219410000	-46.477	67.7548	77.424	1297364.402802	-4304612.02230083	4515412.97525278
13230	1460.420980000	-46.477	67.7598	77.4197	1297215.68276376	-4304395.21479603	4515660.73307099
14131	1463.622565000	-46.4734	67.7527	77.4281	1297066.96268354	-4304178.39173497	4515908.47725048
15002	1466.757444000	-46.4771	67.7695	77.4111	1296921.34079473	-4303966.07040356	4516151.0465129
15906	1469.959022000	-46.4771	67.7744	77.4068	1296772.62045425	-4303749.21595864	4516398.76306633
16790	1473.160587000	-46.4735	67.7673	77.4152	1296623.9000746	-4303532.345959	4516646.46597884
17662	1476.295470000	-46.4735	67.7721	77.4109	1296478.27789537	-4303319.97866842	4516888.99483181
18532	1479.430347000	-46.4772	67.789	77.394	1296332.65562251	-4303107.59627337	4517131.51040192
19427	1482.631912000	-46.4772	67.7939	77.3897	1296183.93489355	-4302890.67946762	4517379.17211773
20327	1485.833502000	-46.4736	67.7868	77.3981	1296035.21412915	-4302673.74710917	4517626.82018969
21199	1488.968381000	-46.4773	67.8037	77.3811	1295889.59157686	-4302461.31876096	4517869.29534171
22120	1492.169958000	-46.4773	67.8086	77.3768	1295740.87056534	-4302244.35502588	4518116.91577724
23021	1495.371556000	-46.4737	67.8015	77.3852	1295592.14952117	-4302027.37573962	4518364.52256673
23904	1498.506410000	-46.4738	67.8063	77.3809	1295446.52669769	-4301814.9014428	4518606.95729414
24769	1501.641275000	-46.4774	67.8231	77.364	1295300.90378691	-4301602.41204498	4518849.3787337
25655	1504.842884000	-46.4774	67.8281	77.3596	1295152.18241301	-4301385.3859634	4519096.94431103
26551	1508.044456000	-46.4738	67.821	77.368	1295003.46101019	-4301168.34433268	4519344.49623939
27422	1511.179324000	-46.4775	67.8378	77.3511	1294857.83783923	-4300955.80899224	4519586.87724571
28327	1514.380905000	-46.4775	67.8427	77.3467	1294709.11620241	-4300738.73599213	4519834.40152726
29202	1517.582485000	-46.4739	67.8356	77.3551	1294560.39453951	-4300521.64744438	4520081.91215767
30077	1520.717330000	-46.4739	67.8405	77.3509	1294414.77111661	-4300309.06616589	4520324.25272422
30983	1523.852252000	-46.4776	67.8573	77.3339	1294269.14761273	-4300096.46978988	4520566.57999795
31869	1527.053833000	-46.4776	67.8622	77.3296	1294120.42563965	-4299879.33445759	4520814.04940075
32768	1530.255399000	-46.474	67.8551	77.338	1293971.70364423	-4299662.18357969	4521061.50514947
33641	1533.390308000	-46.4777	67.8719	77.321	1293826.07989939	-4299449.54127166	4521303.79197479
34540	1536.591830000	-46.4777	67.8769	77.3167	1293677.35768307	-4299232.35903161	4521551.22006634
35443	1539.793432000	-46.4741	67.8698	77.3251	1293528.63544723	-4299015.1612475	4521798.63450161
36308	1542.928312000	-46.4741	67.8746	77.3208	1293383.01146974	-4298802.47301196	4522040.88087201
37185	1546.063194000	-46.4778	67.8914	77.3038	1293237.38741761	-4298589.76968238	4522283.1139446
