frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
8769	809.300024000	-46.4628	66.8606	78.206	1323926.9576409	-4343085.96811661	4470935.74923849
8859	809.466775000	-46.4628	66.8608	78.2058	1323919.21355162	-4343074.82345932	4470948.78184163
8908	809.633527000	-46.4665	66.8732	78.193	1323911.4694616	-4343063.67875905	4470961.81440757
9004	809.833621000	-46.4628	66.8614	78.2053	1323902.17657725	-4343050.30514284	4470977.45352142
9056	809.983731000	-46.4648	66.8712	78.1896	1323895.20686617	-4343040.27470876	4470989.18258764
9301	810.533956000	-46.4628	66.8625	78.2044	1323869.65141203	-4343003.49679636	4471032.1897884
9348	810.684039000	-46.4648	66.8723	78.1887	1323862.68169817	-4342993.46619976	4471043.91871399
9592	811.267654000	-46.4666	66.8757	78.1908	1323835.57737732	-4342954.45854237	4471089.53171064
9670	811.484417000	-46.4648	66.8736	78.1876	1323825.51007048	-4342939.9698611	4471106.47351327
9911	812.068035000	-46.4666	66.877	78.1897	1323798.40573726	-4342900.96148142	4471152.08588486
9962	812.218147000	-46.4612	66.8626	78.1992	1323791.43607893	-4342890.93073103	4471163.81471195
10171	812.735034000	-46.4666	66.878	78.1888	1323767.42932675	-4342856.3797395	4471204.21360377
10248	812.885145000	-46.4649	66.8757	78.1857	1323760.45966578	-4342846.34883433	4471215.94229692
10466	813.435362000	-46.4666	66.8791	78.1879	1323734.90410772	-4342809.56825102	4471258.94715175
10527	813.585483000	-46.4649	66.8768	78.1848	1323727.93444396	-4342799.53718334	4471270.67570426
10752	814.119045000	-46.4649	66.8776	78.1841	1323703.15331974	-4342763.87067376	4471312.37692737
10998	814.736020000	-46.4667	66.8811	78.1862	1323674.50008631	-4342722.63058861	4471360.59339819
11058	814.869474000	-46.4667	66.8813	78.186	1323668.30483272	-4342713.71386625	4471371.0186391
11130	815.069568000	-46.463	66.8695	78.1983	1323659.01192064	-4342700.33863004	4471386.65635101
11211	815.269627000	-46.4667	66.8819	78.1854	1323649.71894588	-4342686.96312974	4471402.29379976
11299	815.486382000	-46.4649	66.8798	78.1822	1323639.6516161	-4342672.4731071	4471419.23444153
11546	816.103387000	-46.463	66.8711	78.1969	1323610.99842202	-4342631.23191974	4471467.44999305
11628	816.286810000	-46.465	66.881	78.1812	1323602.47988679	-4342618.97082507	4471481.78409731
11870	816.870423000	-46.4667	66.8844	78.1833	1323575.37547953	-4342579.9581117	4471527.3927184
11928	817.037213000	-46.4667	66.8847	78.1831	1323567.63135686	-4342568.81150252	4471540.42363235
12036	817.287297000	-46.4613	66.8704	78.1924	1323556.01521682	-4342552.09163015	4471559.97001387
12274	817.854249000	-46.465	66.8834	78.179	1323529.68517822	-4342514.19257768	4471604.27461129
12494	818.437866000	-46.4668	66.8868	78.1812	1323502.58074688	-4342475.17844989	4471649.88200818
12576	818.637969000	-46.4631	66.875	78.1935	1323493.28781598	-4342461.80210965	4471665.51876457
12628	818.788065000	-46.4613	66.8727	78.1904	1323486.31813164	-4342451.76983476	4471677.24627226
